Normal Costs,CUDA Costs,CUDA Cost Diff,Normal Removal,CUDA Removal,Memmove Removal,CUDA Removal Diff,Memmove Removal Diff
54,10,44,8,28,3,20,+AC0-5
53,11,42,10,35,2,25,+AC0-8
55,11,44,25,88,3,63,+AC0-22
53,10,43,21,70,2,49,+AC0-19
54,11,43,35,118,4,83,+AC0-31
54,11,43,11,39,2,28,+AC0-9
54,10,44,14,47,2,33,+AC0-12
54,11,43,15,54,3,39,+AC0-12
54,11,43,3,7,2,4,+AC0-1
54,11,43,35,117,6,82,+AC0-29
53,9,44,31,105,3,74,+AC0-28
53,11,42,46,151,4,105,+AC0-42
54,10,44,51,168,4,117,+AC0-47
54,11,43,19,67,3,48,+AC0-16
53,11,42,40,133,4,93,+AC0-36
54,10,44,0,3,2,3,2
54,10,44,8,28,2,20,+AC0-6
53,11,42,37,124,4,87,+AC0-33
54,10,44,22,73,3,51,+AC0-19
54,11,43,10,35,2,25,+AC0-8
53,11,42,13,46,2,33,+AC0-11
54,10,44,17,59,2,42,+AC0-15
53,16,37,40,136,4,96,+AC0-36
53,9,44,32,111,4,79,+AC0-28
53,9,44,13,43,3,30,+AC0-10
54,10,44,8,31,2,23,+AC0-6
54,11,43,3,13,2,10,+AC0-1
53,11,42,20,65,2,45,+AC0-18
53,9,44,47,157,4,110,+AC0-43
54,10,44,2,9,2,7,0
53,11,42,31,104,3,73,+AC0-28
53,10,43,10,33,2,23,+AC0-8
53,11,42,36,121,3,85,+AC0-33
52,10,42,29,98,3,69,+AC0-26
54,10,44,16,52,3,36,+AC0-13
52,11,41,39,127,4,88,+AC0-35
52,10,42,34,114,3,80,+AC0-31
53,10,43,45,147,4,102,+AC0-41
52,11,41,11,36,2,25,+AC0-9
53,10,43,20,67,2,47,+AC0-18
53,10,43,3,8,2,5,+AC0-1
53,10,43,14,48,3,34,+AC0-11
52,11,41,18,59,2,41,+AC0-16
52,10,42,9,30,2,21,+AC0-7
52,11,41,41,138,4,97,+AC0-37
53,11,42,33,114,3,81,+AC0-30
52,10,42,11,39,3,28,+AC0-8
52,10,42,25,86,3,61,+AC0-22
52,11,41,48,160,4,112,+AC0-44
52,10,42,21,70,3,49,+AC0-18
52,11,41,15,53,2,38,+AC0-13
53,11,42,10,34,2,24,+AC0-8
52,10,42,39,129,4,90,+AC0-35
52,11,41,18,61,3,43,+AC0-15
52,11,41,3,10,2,7,+AC0-1
52,10,42,30,99,4,69,+AC0-26
52,11,41,8,28,2,20,+AC0-6
52,11,41,35,112,3,77,+AC0-32
52,10,42,28,95,3,67,+AC0-25
52,11,41,1,7,2,6,1
52,11,41,10,35,2,25,+AC0-8
52,10,42,19,67,3,48,+AC0-16
52,11,41,15,53,2,38,+AC0-13
52,11,41,46,154,4,108,+AC0-42
52,10,42,4,14,2,10,+AC0-2
52,11,41,35,119,4,84,+AC0-31
51,8,43,31,105,3,74,+AC0-28
52,10,42,12,42,3,30,+AC0-9
52,10,42,28,97,3,69,+AC0-25
52,11,41,8,27,2,19,+AC0-6
52,10,42,15,51,3,36,+AC0-12
52,11,41,3,9,2,6,+AC0-1
51,11,40,49,166,4,117,+AC0-45
51,10,41,37,125,4,88,+AC0-33
51,11,40,11,36,2,25,+AC0-9
51,11,40,21,72,3,51,+AC0-18
52,10,42,42,142,4,100,+AC0-38
52,11,41,39,130,3,91,+AC0-36
52,11,41,16,56,2,40,+AC0-14
51,10,41,30,100,4,70,+AC0-26
51,11,40,9,32,2,23,+AC0-7
52,11,41,2,9,2,7,0
52,10,42,13,46,2,33,+AC0-11
52,11,41,45,153,3,108,+AC0-42
57,11,46,16,55,2,39,+AC0-14
54,10,44,36,116,4,80,+AC0-32
52,10,42,36,122,3,86,+AC0-33
51,11,40,12,41,2,29,+AC0-10
51,10,41,32,110,3,78,+AC0-29
51,10,41,8,28,2,20,+AC0-6
51,11,40,20,68,3,48,+AC0-17
50,10,40,1,4,1,3,0
51,10,41,27,93,3,66,+AC0-24
51,11,40,15,48,2,33,+AC0-13
51,10,41,33,109,3,76,+AC0-30
51,10,41,19,63,3,44,+AC0-16
51,11,40,50,168,4,118,+AC0-46
52,10,42,45,152,4,107,+AC0-41
50,10,40,24,80,3,56,+AC0-21
51,11,40,4,14,2,10,+AC0-2
51,11,40,14,50,2,36,+AC0-12
51,10,41,39,135,4,96,+AC0-35
51,11,40,29,100,3,71,+AC0-26
50,11,39,12,40,2,28,+AC0-10
51,10,41,2,6,2,4,0
51,11,40,36,123,4,87,+AC0-32
50,11,39,18,62,2,44,+AC0-16
50,10,40,9,31,2,22,+AC0-7
50,10,40,11,38,2,27,+AC0-9
51,11,40,41,138,3,97,+AC0-38
51,10,41,34,112,4,78,+AC0-30
50,11,39,14,48,2,34,+AC0-12
50,11,39,47,154,4,107,+AC0-43
55,10,45,18,59,3,41,+AC0-15
50,11,39,38,129,4,91,+AC0-34
56,11,45,28,95,3,67,+AC0-25
51,10,41,18,63,3,45,+AC0-15
50,11,39,10,34,2,24,+AC0-8
50,11,39,32,106,3,74,+AC0-29
50,11,39,36,122,3,86,+AC0-33
50,11,39,3,11,2,8,+AC0-1
51,11,40,12,44,2,32,+AC0-10
51,10,41,50,163,4,113,+AC0-46
50,11,39,30,100,3,70,+AC0-27
50,11,39,18,61,2,43,+AC0-16
50,10,40,27,89,3,62,+AC0-24
50,10,40,8,26,2,18,+AC0-6
50,11,39,15,50,2,35,+AC0-13
50,10,40,9,33,3,24,+AC0-6
50,11,39,43,144,4,101,+AC0-39
50,11,39,21,72,2,51,+AC0-19
50,10,40,47,158,4,111,+AC0-43
50,10,40,19,64,3,45,+AC0-16
50,11,39,28,6,2,+AC0-22,+AC0-26
49,10,39,2,96,2,94,0
50,11,39,39,132,4,93,+AC0-35
51,10,41,37,126,3,89,+AC0-34
50,10,40,14,48,3,34,+AC0-11
49,9,40,31,107,3,76,+AC0-28
49,11,38,11,37,2,26,+AC0-9
49,11,38,9,31,2,22,+AC0-7
49,11,38,34,112,4,78,+AC0-30
50,11,39,38,129,3,91,+AC0-35
49,10,39,2,7,2,5,0
50,10,40,15,53,3,38,+AC0-12
50,11,39,23,78,3,55,+AC0-20
50,10,40,19,66,2,47,+AC0-17
49,10,39,12,45,2,33,+AC0-10
49,11,38,14,47,2,33,+AC0-12
49,10,39,36,117,3,81,+AC0-33
49,10,39,40,137,4,97,+AC0-36
49,11,38,10,34,2,24,+AC0-8
49,11,38,30,97,3,67,+AC0-27
49,11,38,27,93,3,66,+AC0-24
49,11,38,44,146,4,102,+AC0-40
50,10,40,3,12,1,9,+AC0-2
50,10,40,31,106,3,75,+AC0-28
49,11,38,7,27,2,20,+AC0-5
48,11,37,27,88,3,61,+AC0-24
49,10,39,11,40,2,29,+AC0-9
49,11,38,16,54,2,38,+AC0-14
49,11,38,38,124,3,86,+AC0-35
49,10,39,14,49,3,35,+AC0-11
50,11,39,9,29,2,20,+AC0-7
48,11,37,48,161,4,113,+AC0-44
49,10,39,2,9,2,7,0
49,10,39,29,100,3,71,+AC0-26
50,11,39,17,60,2,43,+AC0-15
48,10,38,47,154,4,107,+AC0-43
49,11,38,7,26,2,19,+AC0-5
49,11,38,35,118,3,83,+AC0-32
49,10,39,2,108,3,106,1
49,11,38,32,5,2,+AC0-27,+AC0-30
49,11,38,27,93,3,66,+AC0-24
49,10,39,18,63,3,45,+AC0-15
48,10,38,13,45,2,32,+AC0-11
48,10,38,9,31,2,22,+AC0-7
50,10,40,27,90,3,63,+AC0-24
48,11,37,43,144,4,101,+AC0-39
48,11,37,48,159,3,111,+AC0-45
48,10,38,36,124,4,88,+AC0-32
48,11,37,29,99,3,70,+AC0-26
48,11,37,21,69,3,48,+AC0-18
49,10,39,3,12,2,9,+AC0-1
